index Pedidos|Parlamentar|Período|Pedido
2|Adalto Santos|Dezembro de 2016|COMPLEMENTO Nº: 677845-AS/2017 - R$ 9.287,46
1|Adalto Santos|Janeiro de 2017|PEDIDO Nº: 902291-AS/2017 - R$ 7.822,14
1|Adalto Santos|Fevereiro de 2017|PEDIDO Nº: 677125-AS/2017 - R$ 8.665,49
2|Adalto Santos|Fevereiro de 2017|COMPLEMENTO Nº: 525344-AS/2017 - R$ 2.500,00
1|Adalto Santos|Março de 2017|PEDIDO Nº: 245585-AS/2017 - R$ 11.262,30
1|Adalto Santos|Abril de 2017|PEDIDO Nº: 621274-AS/2017 - R$ 5.426,99
2|Adalto Santos|Abril de 2017|COMPLEMENTO Nº: 895981-AS/2017 - R$ 4.100,00
1|Adalto Santos|Maio de 2017|PEDIDO Nº: 687105-AS/2017 - R$ 9.333,90
2|Adalto Santos|Maio de 2017|COMPLEMENTO Nº: 903899-AS/2017 - R$ 2.350,00
1|Adalto Santos|Junho de 2017|PEDIDO Nº: 467003-AS/2017 - R$ 11.689,06
2|Adalto Santos|Junho de 2017|COMPLEMENTO Nº: 150659-AS/2017 - R$ 1.260,94
1|Adalto Santos|Julho de 2017|PEDIDO Nº: 468039-AS/2017 - R$ 1.751,16
2|Adalto Santos|Julho de 2017|COMPLEMENTO Nº: 150918-AS/2017 - R$ 2.889,96
1|Adalto Santos|Agosto de 2017|PEDIDO Nº: 084197-AS/2017 - R$ 1.406,02
2|Adalto Santos|Agosto de 2017|COMPLEMENTO Nº: 341584-AS/2017 - R$ 1.440,00
3|Adalto Santos|Agosto de 2017|COMPLEMENTO Nº: 077653-AS/2017 - R$ 2.155,64
1|Adalto Santos|Setembro de 2017|PEDIDO Nº: 998330-AS/2017 - R$ 1.018,52
2|Adalto Santos|Setembro de 2017|COMPLEMENTO Nº: 407797-AS/2017 - R$ 3.504,98
3|Adalto Santos|Setembro de 2017|COMPLEMENTO Nº: 341657-AS/2017 - R$ 2.109,16
1|Adalto Santos|Outubro de 2017|PEDIDO Nº: 342273-AS/2017 - R$ 8.915,45
1|Adalto Santos|Novembro de 2017|PEDIDO Nº: 443121-AS/2017 - R$ 2.494,52
2|Adalto Santos|Novembro de 2017|COMPLEMENTO Nº: 442435-AS/2017 - R$ 4.504,99
1|Adalto Santos|Dezembro de 2017|PEDIDO Nº: 439877-AS/2017 - R$ 2.476,36
2|Adalto Santos|Dezembro de 2017|COMPLEMENTO Nº: 733206-AS/2018 - R$ 9.193,26
1|Adalto Santos|Janeiro de 2018|PEDIDO Nº: 153767-AS/2018 - R$ 1.798,50
2|Adalto Santos|Janeiro de 2018|COMPLEMENTO Nº: 529710-AS/2018 - R$ 4.000,00
3|Adalto Santos|Janeiro de 2018|COMPLEMENTO Nº: 362758-AS/2018 - R$ 8.647,50
1|Adalto Santos|Fevereiro de 2018|PEDIDO Nº: 235174-AS/2018 - R$ 1.209,38
2|Adalto Santos|Fevereiro de 2018|COMPLEMENTO Nº: 550059-AS/2018 - R$ 4.157,47
3|Adalto Santos|Fevereiro de 2018|COMPLEMENTO Nº: 532319-AS/2018 - R$ 2.435,65
4|Adalto Santos|Fevereiro de 2018|COMPLEMENTO Nº: 157504-AS/2018 - R$ 7.647,50
1|Adalto Santos|Março de 2018|PEDIDO Nº: 159046-AS/2018 - R$ 126,61
2|Adalto Santos|Março de 2018|COMPLEMENTO Nº: 094463-AS/2018 - R$ 12.147,08
3|Adalto Santos|Março de 2018|COMPLEMENTO Nº: 532467-AS/2018 - R$ 3.176,31
1|Adalto Santos|Abril de 2018|PEDIDO Nº: 41 - R$ 7.220,66
2|Adalto Santos|Abril de 2018|COMPLEMENTO Nº: 100 - R$ 4.000,00
1|Adalto Santos|Maio de 2018|PEDIDO Nº: 94 - R$ 12.115,95
1|Adalto Santos|Junho de 2018|PEDIDO Nº: 136 - R$ 2.255,70
2|Adalto Santos|Junho de 2018|COMPLEMENTO Nº: 173 - R$ 11.039,78
1|Adalto Santos|Julho de 2018|PEDIDO Nº: 251 - R$ 6.941,40
2|Adalto Santos|Julho de 2018|COMPLEMENTO Nº: 304 - R$ 4.239,04
1|Adalto Santos|Agosto de 2018|PEDIDO Nº: 303 - R$ 9.914,80
2|Adalto Santos|Agosto de 2018|COMPLEMENTO Nº: 342 - R$ 1.170,00
1|Adalto Santos|Setembro de 2018|PEDIDO Nº: 372 - R$ 4.940,43
1|Adalto Santos|Outubro de 2018|PEDIDO Nº: 402 - R$ 3.559,71
1|Aglailson Júnior|Fevereiro de 2015|PEDIDO Nº: 225141-AJ/2015 - R$ 10.050,00
2|Aglailson Júnior|Fevereiro de 2015|COMPLEMENTO Nº: 174122-AJ/2015 - R$ 5.400,00
1|Aglailson Júnior|Março de 2015|PEDIDO Nº: 386061-AJ/2015 - R$ 15.450,00
1|Aglailson Júnior|Abril de 2015|PEDIDO Nº: 809585-AJ/2015 - R$ 15.450,00
1|Aglailson Júnior|Maio de 2015|PEDIDO Nº: 740204-AJ/2015 - R$ 15.427,82
1|Aglailson Júnior|Junho de 2015|PEDIDO Nº: 606647-AJ/2015 - R$ 10.050,00
2|Aglailson Júnior|Junho de 2015|COMPLEMENTO Nº: 486147-AJ/2015 - R$ 5.400,00
1|Aglailson Júnior|Julho de 2015|PEDIDO Nº: 278077-AJ/2015 - R$ 15.450,00
1|Aglailson Júnior|Agosto de 2015|PEDIDO Nº: 516850-AJ/2015 - R$ 15.450,00
1|Aglailson Júnior|Setembro de 2015|PEDIDO Nº: 451548-AJ/2015 - R$ 15.450,00
1|Aglailson Júnior|Outubro de 2015|PEDIDO Nº: 052845-AJ/2015 - R$ 9.511,02
2|Aglailson Júnior|Outubro de 2015|COMPLEMENTO Nº: 903065-AJ/2015 - R$ 5.400,00
1|Aglailson Júnior|Novembro de 2015|PEDIDO Nº: 898230-AJ/2015 - R$ 15.450,00
1|Aglailson Júnior|Dezembro de 2015|PEDIDO Nº: 156450-AJ/2015 - R$ 5.400,00
2|Aglailson Júnior|Dezembro de 2015|COMPLEMENTO Nº: 299031-AJ/2016 - R$ 10.050,00
1|Aglailson Júnior|Janeiro de 2016|PEDIDO Nº: 286853-AJ/2016 - R$ 15.450,00
1|Aglailson Júnior|Fevereiro de 2016|PEDIDO Nº: 132018-AJ/2016 - R$ 15.446,96
1|Aglailson Júnior|Março de 2016|PEDIDO Nº: 129356-AJ/2016 - R$ 15.450,00
1|Aglailson Júnior|Abril de 2016|PEDIDO Nº: 979044-AJ/2016 - R$ 15.450,00
1|Aglailson Júnior|Maio de 2016|PEDIDO Nº: 397639-AJ/2016 - R$ 15.450,00
1|Aglailson Júnior|Junho de 2016|PEDIDO Nº: 416647-AJ/2016 - R$ 15.450,00
1|Aglailson Júnior|Julho de 2016|PEDIDO Nº: 837697-AJ/2016 - R$ 15.450,00
1|Aglailson Júnior|Agosto de 2016|PEDIDO Nº: 960248-AJ/2016 - R$ 15.450,00
1|Aglailson Júnior|Setembro de 2016|PEDIDO Nº: 449416-AJ/2016 - R$ 15.450,00
1|Aglailson Júnior|Outubro de 2016|PEDIDO Nº: 873090-AJ/2016 - R$ 15.450,00
1|Aglailson Júnior|Novembro de 2016|PEDIDO Nº: 727735-AJ/2016 - R$ 15.450,00
1|Aglailson Júnior|Dezembro de 2016|PEDIDO Nº: 343762-AJ/2016 - R$ 5.400,00
2|Aglailson Júnior|Dezembro de 2016|COMPLEMENTO Nº: 431477-AJ/2017 - R$ 10.035,00
1|Aluísio Lessa|Janeiro de 2015|PEDIDO Nº: 820018-AL/2015 - R$ 11.428,70
2|Aluísio Lessa|Janeiro de 2015|COMPLEMENTO Nº: 937208-AL/2015 - R$ 265,81
1|Aluísio Lessa|Fevereiro de 2015|PEDIDO Nº: 906170-AL/2015 - R$ 424,40
2|Aluísio Lessa|Fevereiro de 2015|COMPLEMENTO Nº: 851912-AL/2015 - R$ 415,00
3|Aluísio Lessa|Fevereiro de 2015|COMPLEMENTO Nº: 728234-AL/2015 - R$ 5.400,00
4|Aluísio Lessa|Fevereiro de 2015|COMPLEMENTO Nº: 018889-AL/2015 - R$ 5.633,41
1|Aluísio Lessa|Março de 2015|PEDIDO Nº: 226371-AL/2015 - R$ 1.115,39
2|Aluísio Lessa|Março de 2015|COMPLEMENTO Nº: 648593-AL/2015 - R$ 522,30
3|Aluísio Lessa|Março de 2015|COMPLEMENTO Nº: 887283-AL/2015 - R$ 10.767,60
1|Aluísio Lessa|Abril de 2015|PEDIDO Nº: 046282-AL/2015 - R$ 4.365,19
2|Aluísio Lessa|Abril de 2015|COMPLEMENTO Nº: 602600-AL/2015 - R$ 10.767,60
1|Aluísio Lessa|Maio de 2015|PEDIDO Nº: 194901-AL/2015 - R$ 1.235,29
2|Aluísio Lessa|Maio de 2015|COMPLEMENTO Nº: 131192-AL/2015 - R$ 10.767,60
1|Aluísio Lessa|Junho de 2015|PEDIDO Nº: 686110-AL/2015 - R$ 265,81
2|Aluísio Lessa|Junho de 2015|COMPLEMENTO Nº: 944686-AL/2015 - R$ 10.767,60
1|Aluísio Lessa|Julho de 2015|PEDIDO Nº: 948750-AL/2015 - R$ 424,19
2|Aluísio Lessa|Julho de 2015|COMPLEMENTO Nº: 035953-AL/2015 - R$ 10.767,60
1|Aluísio Lessa|Agosto de 2015|PEDIDO Nº: 371616-AL/2015 - R$ 1.451,24
2|Aluísio Lessa|Agosto de 2015|COMPLEMENTO Nº: 254146-AL/2015 - R$ 10.767,60
1|Aluísio Lessa|Setembro de 2015|PEDIDO Nº: 786766-AL/2015 - R$ 386,18
2|Aluísio Lessa|Setembro de 2015|COMPLEMENTO Nº: 469849-AL/2015 - R$ 10.767,60
3|Aluísio Lessa|Setembro de 2015|COMPLEMENTO Nº: 983767-AL/2015 - R$ 447,30
1|Aluísio Lessa|Outubro de 2015|PEDIDO Nº: 602029-AL/2015 - R$ 244,28
2|Aluísio Lessa|Outubro de 2015|COMPLEMENTO Nº: 366317-AL/2015 - R$ 10.767,60
1|Aluísio Lessa|Novembro de 2015|PEDIDO Nº: 979883-AL/2015 - R$ 20,78
2|Aluísio Lessa|Novembro de 2015|COMPLEMENTO Nº: 076842-AL/2015 - R$ 11.214,90
1|Aluísio Lessa|Dezembro de 2015|PEDIDO Nº: 063118-AL/2015 - R$ 13,90
2|Aluísio Lessa|Dezembro de 2015|COMPLEMENTO Nº: 893393-AL/2016 - R$ 10.043,25
1|Aluísio Lessa|Janeiro de 2016|PEDIDO Nº: 101376-AL/2016 - R$ 431,81
2|Aluísio Lessa|Janeiro de 2016|COMPLEMENTO Nº: 309620-AL/2016 - R$ 11.235,68
1|Aluísio Lessa|Fevereiro de 2016|PEDIDO Nº: 342386-AL/2016 - R$ 546,70
2|Aluísio Lessa|Fevereiro de 2016|COMPLEMENTO Nº: 941819-AL/2016 - R$ 14.903,30
1|Aluísio Lessa|Março de 2016|PEDIDO Nº: 453719-AL/2016 - R$ 1.302,00
2|Aluísio Lessa|Março de 2016|COMPLEMENTO Nº: 664566-AL/2016 - R$ 8.333,59
3|Aluísio Lessa|Março de 2016|COMPLEMENTO Nº: 876776-AL/2016 - R$ 5.367,60
1|Aluísio Lessa|Abril de 2016|PEDIDO Nº: 394382-AL/2016 - R$ 446,70
2|Aluísio Lessa|Abril de 2016|COMPLEMENTO Nº: 488789-AL/2016 - R$ 15.003,30
1|Aluísio Lessa|Maio de 2016|PEDIDO Nº: 686951-AL/2016 - R$ 546,70
2|Aluísio Lessa|Maio de 2016|COMPLEMENTO Nº: 648206-AL/2016 - R$ 5.799,41
3|Aluísio Lessa|Maio de 2016|COMPLEMENTO Nº: 296023-AL/2016 - R$ 4.671,80
1|Aluísio Lessa|Junho de 2016|PEDIDO Nº: 043488-AL/2016 - R$ 546,70
2|Aluísio Lessa|Junho de 2016|COMPLEMENTO Nº: 258552-AL/2016 - R$ 10.868,81
1|Aluísio Lessa|Julho de 2016|PEDIDO Nº: 946025-AL/2016 - R$ 431,81
2|Aluísio Lessa|Julho de 2016|COMPLEMENTO Nº: 148306-AL/2016 - R$ 5.914,30
1|Aluísio Lessa|Agosto de 2016|PEDIDO Nº: 381021-AL/2016 - R$ 497,26
2|Aluísio Lessa|Agosto de 2016|COMPLEMENTO Nº: 490450-AL/2016 - R$ 11.281,90
1|Aluísio Lessa|Setembro de 2016|PEDIDO Nº: 309047-AL/2016 - R$ 5.168,80
2|Aluísio Lessa|Setembro de 2016|COMPLEMENTO Nº: 722368-AL/2016 - R$ 5.914,30
1|Aluísio Lessa|Outubro de 2016|PEDIDO Nº: 214360-AL/2016 - R$ 5.910,23
2|Aluísio Lessa|Outubro de 2016|COMPLEMENTO Nº: 978661-AL/2016 - R$ 5.367,60
1|Aluísio Lessa|Novembro de 2016|PEDIDO Nº: 302879-AL/2016 - R$ 47,16
2|Aluísio Lessa|Novembro de 2016|COMPLEMENTO Nº: 996056-AL/2016 - R$ 11.281,54
1|Aluísio Lessa|Dezembro de 2016|PEDIDO Nº: 326491-AL/2016 - R$ 24,07
2|Aluísio Lessa|Dezembro de 2016|COMPLEMENTO Nº: 589068-AL/2017 - R$ 11.519,60
1|Aluísio Lessa|Janeiro de 2017|PEDIDO Nº: 360237-AL/2017 - R$ 546,70
2|Aluísio Lessa|Janeiro de 2017|COMPLEMENTO Nº: 528486-AL/2017 - R$ 5.367,60
1|Aluísio Lessa|Fevereiro de 2017|PEDIDO Nº: 649150-AL/2017 - R$ 46,67
2|Aluísio Lessa|Fevereiro de 2017|COMPLEMENTO Nº: 600843-AL/2017 - R$ 7.480,90
1|Aluísio Lessa|Março de 2017|PEDIDO Nº: 589366-AL/2017 - R$ 1.654,60
2|Aluísio Lessa|Março de 2017|COMPLEMENTO Nº: 089849-AL/2017 - R$ 10.767,60
1|Aluísio Lessa|Abril de 2017|PEDIDO Nº: 679443-AL/2017 - R$ 10,00
2|Aluísio Lessa|Abril de 2017|COMPLEMENTO Nº: 638632-AL/2017 - R$ 11.383,88
1|Aluísio Lessa|Maio de 2017|PEDIDO Nº: 394790-AL/2017 - R$ 69,50
2|Aluísio Lessa|Maio de 2017|COMPLEMENTO Nº: 726242-AL/2017 - R$ 11.516,68
1|Aluísio Lessa|Junho de 2017|PEDIDO Nº: 727901-AL/2017 - R$ 40,00
2|Aluísio Lessa|Junho de 2017|COMPLEMENTO Nº: 650511-AL/2017 - R$ 11.383,88
1|Aluísio Lessa|Julho de 2017|PEDIDO Nº: 653448-AL/2017 - R$ 25,50
2|Aluísio Lessa|Julho de 2017|COMPLEMENTO Nº: 071168-AL/2017 - R$ 11.383,88
1|Aluísio Lessa|Agosto de 2017|PEDIDO Nº: 647623-AL/2017 - R$ 30,80
2|Aluísio Lessa|Agosto de 2017|COMPLEMENTO Nº: 980639-AL/2017 - R$ 11.383,88
1|Aluísio Lessa|Setembro de 2017|PEDIDO Nº: 495504-AL/2017 - R$ 533,06
2|Aluísio Lessa|Setembro de 2017|COMPLEMENTO Nº: 885319-AL/2017 - R$ 11.383,88
1|Aluísio Lessa|Outubro de 2017|PEDIDO Nº: 327353-AL/2017 - R$ 358,60
2|Aluísio Lessa|Outubro de 2017|COMPLEMENTO Nº: 421180-AL/2017 - R$ 5.367,60
1|Aluísio Lessa|Novembro de 2017|PEDIDO Nº: 901727-AL/2017 - R$ 352,08
2|Aluísio Lessa|Novembro de 2017|COMPLEMENTO Nº: 321202-AL/2017 - R$ 10.767,60
1|Aluísio Lessa|Dezembro de 2017|PEDIDO Nº: 329335-AL/2017 - R$ 66,00
2|Aluísio Lessa|Dezembro de 2017|COMPLEMENTO Nº: 534724-AL/2017 - R$ 5.367,66
1|Aluísio Lessa|Janeiro de 2018|PEDIDO Nº: 060375-AL/2018 - R$ 159,35
2|Aluísio Lessa|Janeiro de 2018|COMPLEMENTO Nº: 867588-AL/2018 - R$ 10.767,60
1|Aluísio Lessa|Fevereiro de 2018|PEDIDO Nº: 730771-AL/2018 - R$ 33,30
2|Aluísio Lessa|Fevereiro de 2018|COMPLEMENTO Nº: 776482-AL/2018 - R$ 12.794,40
1|Aluísio Lessa|Março de 2018|PEDIDO Nº: 294535-AL/2018 - R$ 369,90
2|Aluísio Lessa|Março de 2018|COMPLEMENTO Nº: 591629-AL/2018 - R$ 10.767,60
1|Aluísio Lessa|Abril de 2018|PEDIDO Nº: 17 - R$ 12,00
2|Aluísio Lessa|Abril de 2018|COMPLEMENTO Nº: 58 - R$ 5.367,60
1|Aluísio Lessa|Maio de 2018|PEDIDO Nº: 57 - R$ 8,95
2|Aluísio Lessa|Maio de 2018|COMPLEMENTO Nº: 132 - R$ 5.367,60
1|Aluísio Lessa|Junho de 2018|PEDIDO Nº: 119 - R$ 42,00
2|Aluísio Lessa|Junho de 2018|COMPLEMENTO Nº: 333 - R$ 5.367,60
1|Aluísio Lessa|Julho de 2018|PEDIDO Nº: 196 - R$ 90,01
2|Aluísio Lessa|Julho de 2018|COMPLEMENTO Nº: 258 - R$ 5.367,60
1|Aluísio Lessa|Agosto de 2018|PEDIDO Nº: 261 - R$ 83,00
2|Aluísio Lessa|Agosto de 2018|COMPLEMENTO Nº: 334 - R$ 5.367,60
1|Aluísio Lessa|Setembro de 2018|PEDIDO Nº: 462 - R$ 33,10
1|Aluísio Lessa|Outubro de 2018|PEDIDO Nº: 467 - R$ 18,00
1|Álvaro Porto|Fevereiro de 2015|PEDIDO Nº: 686055-ÁP/2015 - R$ 15.450,00
1|Álvaro Porto|Março de 2015|PEDIDO Nº: 328647-ÁP/2015 - R$ 15.450,00
1|Álvaro Porto|Abril de 2015|PEDIDO Nº: 266704-ÁP/2015 - R$ 15.450,00
1|Álvaro Porto|Maio de 2015|PEDIDO Nº: 836138-ÁP/2015 - R$ 15.450,00
1|Álvaro Porto|Junho de 2015|PEDIDO Nº: 709056-ÁP/2015 - R$ 15.417,60
1|Álvaro Porto|Julho de 2015|PEDIDO Nº: 201083-ÁP/2015 - R$ 15.275,10
1|Álvaro Porto|Agosto de 2015|PEDIDO Nº: 129594-ÁP/2015 - R$ 15.275,10
1|Álvaro Porto|Setembro de 2015|PEDIDO Nº: 652456-ÁP/2015 - R$ 10.775,10
2|Álvaro Porto|Setembro de 2015|COMPLEMENTO Nº: 102017-ÁP/2015 - R$ 4.500,00
1|Álvaro Porto|Outubro de 2015|PEDIDO Nº: 137243-ÁP/2015 - R$ 15.275,10
1|Álvaro Porto|Novembro de 2015|PEDIDO Nº: 650412-ÁP/2015 - R$ 15.275,10
1|Álvaro Porto|Dezembro de 2015|PEDIDO Nº: 915666-ÁP/2015 - R$ 15.275,10
1|Álvaro Porto|Janeiro de 2016|PEDIDO Nº: 081785-ÁP/2016 - R$ 15.345,10
1|Álvaro Porto|Fevereiro de 2016|PEDIDO Nº: 595192-ÁP/2016 - R$ 15.387,10
1|Álvaro Porto|Março de 2016|PEDIDO Nº: 823130-ÁP/2016 - R$ 15.285,10
1|Álvaro Porto|Abril de 2016|PEDIDO Nº: 336703-ÁP/2016 - R$ 14.945,93
1|Álvaro Porto|Maio de 2016|PEDIDO Nº: 838830-ÁP/2016 - R$ 14.945,93
1|Álvaro Porto|Junho de 2016|PEDIDO Nº: 627927-ÁP/2016 - R$ 14.945,93
1|Álvaro Porto|Julho de 2016|PEDIDO Nº: 033134-ÁP/2016 - R$ 14.945,93
1|Álvaro Porto|Agosto de 2016|PEDIDO Nº: 054530-ÁP/2016 - R$ 14.945,93
1|Álvaro Porto|Setembro de 2016|PEDIDO Nº: 484841-ÁP/2016 - R$ 14.945,93
1|Álvaro Porto|Outubro de 2016|PEDIDO Nº: 081142-ÁP/2016 - R$ 14.945,93
1|Álvaro Porto|Novembro de 2016|PEDIDO Nº: 920522-ÁP/2016 - R$ 14.945,93
1|Álvaro Porto|Dezembro de 2016|PEDIDO Nº: 338322-ÁP/2016 - R$ 14.945,93
1|Álvaro Porto|Janeiro de 2017|PEDIDO Nº: 672937-ÁP/2017 - R$ 14.945,93
1|Álvaro Porto|Fevereiro de 2017|PEDIDO Nº: 410344-ÁP/2017 - R$ 14.945,93
1|Álvaro Porto|Março de 2017|PEDIDO Nº: 677410-ÁP/2017 - R$ 14.945,93
1|Álvaro Porto|Abril de 2017|PEDIDO Nº: 614501-ÁP/2017 - R$ 14.945,93
1|Álvaro Porto|Maio de 2017|PEDIDO Nº: 116826-ÁP/2017 - R$ 14.945,93
1|Álvaro Porto|Junho de 2017|PEDIDO Nº: 852232-ÁP/2017 - R$ 9.578,33
2|Álvaro Porto|Junho de 2017|COMPLEMENTO Nº: 734387-ÁP/2017 - R$ 5.367,60
1|Álvaro Porto|Julho de 2017|PEDIDO Nº: 354931-ÁP/2017 - R$ 14.945,93
1|Álvaro Porto|Agosto de 2017|PEDIDO Nº: 953352-ÁP/2017 - R$ 14.945,93
1|Álvaro Porto|Setembro de 2017|PEDIDO Nº: 734908-ÁP/2017 - R$ 4.170,83
2|Álvaro Porto|Setembro de 2017|COMPLEMENTO Nº: 992955-ÁP/2017 - R$ 10.775,10
1|Álvaro Porto|Outubro de 2017|PEDIDO Nº: 239175-ÁP/2017 - R$ 14.945,93
1|Álvaro Porto|Novembro de 2017|PEDIDO Nº: 743875-ÁP/2017 - R$ 14.945,93
1|Álvaro Porto|Dezembro de 2017|PEDIDO Nº: 434455-ÁP/2017 - R$ 4.170,83
2|Álvaro Porto|Dezembro de 2017|COMPLEMENTO Nº: 737380-ÁP/2018 - R$ 10.775,10
1|Álvaro Porto|Janeiro de 2018|PEDIDO Nº: 633142-ÁP/2018 - R$ 14.945,93
1|Álvaro Porto|Fevereiro de 2018|PEDIDO Nº: 046101-ÁP/2018 - R$ 14.945,93
1|Álvaro Porto|Março de 2018|PEDIDO Nº: 595215-ÁP/2018 - R$ 14.945,93
1|Álvaro Porto|Abril de 2018|PEDIDO Nº: 28 - R$ 14.945,93
1|Álvaro Porto|Maio de 2018|PEDIDO Nº: 80 - R$ 14.945,93
1|Álvaro Porto|Junho de 2018|PEDIDO Nº: 157 - R$ 14.945,93
1|Álvaro Porto|Julho de 2018|PEDIDO Nº: 207 - R$ 14.945,93
1|Álvaro Porto|Agosto de 2018|PEDIDO Nº: 294 - R$ 14.945,93
1|Álvaro Porto|Setembro de 2018|PEDIDO Nº: 352 - R$ -1.196,77
2|Álvaro Porto|Setembro de 2018|COMPLEMENTO Nº: 380 - R$ 10.775,10
1|Álvaro Porto|Outubro de 2018|PEDIDO Nº: 443 - R$ 14.945,93
1|André Ferreira|Fevereiro de 2015|PEDIDO Nº: 900348-AF/2015 - R$ 7.282,27
2|André Ferreira|Fevereiro de 2015|COMPLEMENTO Nº: 594123-AF/2015 - R$ 5.119,10
1|André Ferreira|Março de 2015|PEDIDO Nº: 899425-AF/2015 - R$ 6.951,97
