Index Verbas|Parlamentar|Período|Tipo Despesa|Data|CNPJ|Empresa|Valor
5|Adalto Santos|Junho de 2015|VIII - Peças, Acessórios e Serviços para Veículos - R$ 0,00|29/06/2015|00.000.000/0000-00|(Nota cancelada)|0,00
6|Adalto Santos|Junho de 2015|VIII - Peças, Acessórios e Serviços para Veículos - R$ 0,00|29/06/2015|00.000.000/0000-00|(Nota cancelada)|0,00
7|Adalto Santos|Junho de 2015|VIII - Peças, Acessórios e Serviços para Veículos - R$ 0,00|23/06/2015|00.000.000/0000-00|(Nota cancelada)|0,00
8|Adalto Santos|Junho de 2015|VIII - Peças, Acessórios e Serviços para Veículos - R$ 0,00|23/06/2015|00.000.000/0000-00|(Nota cancelada)|0,00
9|Adalto Santos|Junho de 2015|IV - Divulgação de Atividade Parlamentar - R$ 5.161,40|02/07/2015|13118275000176|LUMI COMUNICAÇÃO INTEGRADA LTDA|5.161,40
10|Adalto Santos|Junho de 2015|VI - Aquis./Loc. de Software; TV a Cabo; Internet; Manut. de Site - R$ 0,00|26/06/2015|00.000.000/0000-00|(Nota cancelada)|0,00
11|Adalto Santos|Junho de 2015|XII - Serviços de Telecomunicações em Geral - R$ 0,00|25/06/2015|00.000.000/0000-00|(Nota cancelada)|0,00
12|Adalto Santos|Junho de 2015|II - Hospedagens, Passagens e Locação de Transportes - R$ 1.404,00|16/06/2015|01838726000160|S&B; LOCAÇÕES DE VEÍCULOS LTDA|1.404,00
1|Adalto Santos|Julho de 2015|II - Hospedagens, Passagens e Locação de Transportes - R$ 2.940,00|31/07/2015|02355633000148|ABS TRANSPORTES E TURISMO LTDA|2.940,00
2|Adalto Santos|Julho de 2015|IV - Divulgação de Atividade Parlamentar - R$ 5.161,40|27/07/2015|13118275000176|LUMI COMUNICAÇÕE INTEGRADA LTDA|5.161,40
3|Adalto Santos|Julho de 2015|VI - Aquis./Loc. de Software; TV a Cabo; Internet; Manut. de Site - R$ 128,00|22/07/2015|404325440010290|CLARO|128,00
4|Adalto Santos|Julho de 2015|XII - Serviços de Telecomunicações em Geral - R$ 277,32|22/07/2015|404325440010290|CLARO|277,32
5|Adalto Santos|Julho de 2015|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.000,00|03/09/2015|01902835000108|URBANO VITALINO ADVOGADOS|5.000,00
1|Adalto Santos|Agosto de 2015|IV - Divulgação de Atividade Parlamentar - R$ 5.161,40|27/08/2015|13118275000176|LUMI COMUNICAÇÃO INTEGRADA LTDA|5.161,40
2|Adalto Santos|Agosto de 2015|II - Hospedagens, Passagens e Locação de Transportes - R$ 2.210,00|11/09/2015|21949685000197|STILL W.V.C.O. CONSULTORIA E SERVIÇOS EIRELI - EPP|2.210,00
1|Adalto Santos|Setembro de 2015|II - Hospedagens, Passagens e Locação de Transportes - R$ 2.400,00|30/09/2015|21949685/0001-97|STILL W.V.C.O. CONSULTORIA E SERVIÇOS EIRELI - EPP|2.400,00
2|Adalto Santos|Setembro de 2015|IV - Divulgação de Atividade Parlamentar - R$ 5.161,40|22/09/2015|13118275/0001-76|LUMI COMUNICAÇÃO INTEGRADA LTDA|5.161,40
3|Adalto Santos|Setembro de 2015|VI - Aquis./Loc. de Software; TV a Cabo; Internet; Manut. de Site - R$ 138,47|29/09/2015|40432544/0102-90|CLARO|138,47
4|Adalto Santos|Setembro de 2015|XII - Serviços de Telecomunicações em Geral - R$ 276,00|29/09/2015|40432544/0102-90|CLARO|276,00
1|Adalto Santos|Outubro de 2015|II - Hospedagens, Passagens e Locação de Transportes - R$ 2.400,00|31/10/2015|21949685000197|STILL W.V.C.O. CONSULTORIA E SERVIÇOS EIRELI - EPP|2.400,00
2|Adalto Santos|Outubro de 2015|IV - Divulgação de Atividade Parlamentar - R$ 5.161,40|28/10/2015|13118275000176|LUMI COMUNICAÇÃO INTEGRADA LTDA|5.161,40
3|Adalto Santos|Outubro de 2015|II - Hospedagens, Passagens e Locação de Transportes - R$ 1.188,00|30/10/2015|02355633000148|ABS TRANSPORTES E TURISMO LTDA|1.188,00
4|Adalto Santos|Outubro de 2015|VI - Aquis./Loc. de Software; TV a Cabo; Internet; Manut. de Site - R$ 180,00|23/10/2015|40432544/0102-90|CLARO|180,00
5|Adalto Santos|Outubro de 2015|XII - Serviços de Telecomunicações em Geral - R$ 277,08|23/10/2015|40432544/0102-90|CLARO|277,08
1|Adalto Santos|Novembro de 2015|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.380,00|12/11/2015|02355633000148|ABS TRANSPORTES E TURISMO LTDA|1.780,00
2|Adalto Santos|Novembro de 2015|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.380,00|30/11/2015|21949685000197|STILL WVCO CONSULTORIA E SERVIÇOS EIRELI - EPP|2.400,00
3|Adalto Santos|Novembro de 2015|II - Hospedagens, Passagens e Locação de Transportes - R$ 5.380,00|30/11/2015|02355633000148|ABS TRANSPORTES E TURISMO LTDA|1.200,00
4|Adalto Santos|Novembro de 2015|IV - Divulgação de Atividade Parlamentar - R$ 5.161,00|30/11/2015|13118275/0001-76|LUMI COMUNICAÇÃO INTEGRADA LTDA|5.161,00
5|Adalto Santos|Novembro de 2015|VIII - Peças, Acessórios e Serviços para Veículos - R$ 1.684,32|05/11/2015|41051608000122|FIDEL AUTO PEÇAS LTDA|620,00
6|Adalto Santos|Novembro de 2015|VIII - Peças, Acessórios e Serviços para Veículos - R$ 1.684,32|05/11/2015|41051608000122|FIDEL AUTO PEÇAS LTDA|278,32
7|Adalto Santos|Novembro de 2015|VIII - Peças, Acessórios e Serviços para Veículos - R$ 1.684,32|30/11/2015|18727961000168|NOVA AUTO PLUS LTDA|190,00
8|Adalto Santos|Novembro de 2015|VIII - Peças, Acessórios e Serviços para Veículos - R$ 1.684,32|30/11/2015|18727961000168|NOVA AUTO PLUS LTDA|596,00
1|Adalto Santos|Dezembro de 2015|VIII - Peças, Acessórios e Serviços para Veículos - R$ 280,00|03/12/2015|18727961000168|NOVA AUTO PLUS LTDA|280,00
2|Adalto Santos|Dezembro de 2015|II - Hospedagens, Passagens e Locação de Transportes - R$ 4.800,00|30/12/2015|21949685000197|STILL W.V.C.O CONSULTORIA E SERVIÇOS EIRELI - EPP|2.400,00
3|Adalto Santos|Dezembro de 2015|II - Hospedagens, Passagens e Locação de Transportes - R$ 4.800,00|31/12/2015|02355633000148|ABS TRANSPORTES E TURIMO LTDA|2.400,00
4|Adalto Santos|Dezembro de 2015|IV - Divulgação de Atividade Parlamentar - R$ 5.161,40|28/12/2015|13118275000176|LUMI COMUNICAÇÃO INTEGRADA LTDA|5.161,40
5|Adalto Santos|Dezembro de 2015|XI - Assinaturas de Jornais, Revistas, etc. - R$ 475,00|15/12/2015|10803492000107|DIÁRIO DE PERNAMBUCO S.A|475,00
1|Adalto Santos|Janeiro de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 2.400,00|29/01/2016|21949685000197|STILL WVCO CONSULTORIA E SERVIÇOS EIRELLI EPP|2.400,00
2|Adalto Santos|Janeiro de 2016|IV - Divulgação de Atividade Parlamentar - R$ 3.447,50|30/01/2016|13118275000176|LUMI COMUNICAÇÃO INTEGRADA LTDA|3.447,50
3|Adalto Santos|Janeiro de 2016|VI - Aquis./Loc. de Software; TV a Cabo; Internet; Manut. de Site - R$ 307,45|26/01/2016|40432544010290|CLARO|307,45
4|Adalto Santos|Janeiro de 2016|XII - Serviços de Telecomunicações em Geral - R$ 148,89|26/01/2016|40432544010290|CLARO|148,89
5|Adalto Santos|Janeiro de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 1.600,00|30/01/2016|02355633000148|ABS TRANSPORTES E TURISMO LTDA|1.600,00
1|Adalto Santos|Fevereiro de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 2.400,00|29/02/2016|21949685000197|STILL W.V.C.O CONSULTORIA E SERVIÇOS EIRELI EPP|2.400,00
2|Adalto Santos|Fevereiro de 2016|IV - Divulgação de Atividade Parlamentar - R$ 3.447,50|29/02/2016|13118275000176|LUMI COMUNICAÇÃO INTEGRADA LTDA|3.447,50
3|Adalto Santos|Fevereiro de 2016|VI - Aquis./Loc. de Software; TV a Cabo; Internet; Manut. de Site - R$ 934,08|24/02/2016|05580092000140|K2HOST INTERNET LTDA|500,03
4|Adalto Santos|Fevereiro de 2016|VI - Aquis./Loc. de Software; TV a Cabo; Internet; Manut. de Site - R$ 934,08|25/02/2016|00.000.000/0000-00|(Nota cancelada)|0,00
5|Adalto Santos|Fevereiro de 2016|VI - Aquis./Loc. de Software; TV a Cabo; Internet; Manut. de Site - R$ 934,08|25/02/2016|40432544/0102-90|CLARO|434,05
6|Adalto Santos|Fevereiro de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 0,00|26/02/2016|00.000.000/0000-00|(Nota cancelada)|0,00
7|Adalto Santos|Fevereiro de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 0,00|26/02/2016|00.000.000/0000-00|(Nota cancelada)|0,00
8|Adalto Santos|Fevereiro de 2016|XII - Serviços de Telecomunicações em Geral - R$ 115,37|25/02/2016|00.000.000/0000-00|(Nota cancelada)|0,00
9|Adalto Santos|Fevereiro de 2016|XII - Serviços de Telecomunicações em Geral - R$ 115,37|25/02/2016|40432544/0102-90|CLARO|115,37
10|Adalto Santos|Fevereiro de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 1.600,00|08/04/2016|02355633000148|ABS TRANSPORTES E TURISMO LTDA|1.600,00
1|Adalto Santos|Março de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 2.400,00|31/03/2016|21.949.685/0001-97|STILL W.V.C.O. CONSULTORIA E SERVIÇOS EIRELI|2.400,00
2|Adalto Santos|Março de 2016|IV - Divulgação de Atividade Parlamentar - R$ 3.447,50|30/03/2016|13.118.275/0001-76|LUMI COMUNICACAO INTEGRADA LTDA|3.447,50
3|Adalto Santos|Março de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 1.600,00|08/04/2016|02355633000148|ABS TRANSPORTES E TURISMO LTDA|1.600,00
4|Adalto Santos|Março de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 0,00|10/03/2016|00.000.000/0000-00|(Nota cancelada)|0,00
1|Adalto Santos|Abril de 2016|IV - Divulgação de Atividade Parlamentar - R$ 3.447,50|05/04/2016|13.118.275/0001-76|LUMI COMUNICAÇÃO INTEGRADA LTDA|3.447,50
2|Adalto Santos|Abril de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 572,65|09/04/2016|02355633/000148|ABS TRANSPORTES E TURISMO LTDA|572,65
3|Adalto Santos|Abril de 2016|VI - Aquis./Loc. de Software; TV a Cabo; Internet; Manut. de Site - R$ 908,73|04/04/2016|40432544/0102-90|CLARO|363,84
4|Adalto Santos|Abril de 2016|VI - Aquis./Loc. de Software; TV a Cabo; Internet; Manut. de Site - R$ 908,73|28/04/2016|40432544/0102-90|CLARO|363,80
5|Adalto Santos|Abril de 2016|VI - Aquis./Loc. de Software; TV a Cabo; Internet; Manut. de Site - R$ 908,73|27/04/2016|40432544/0102-90|CLARO|181,09
6|Adalto Santos|Abril de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 959,28|11/04/2016|00.000.000/0000-00|(Nota cancelada)|0,00
7|Adalto Santos|Abril de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 959,28|11/04/2016|00.000.000/0000-00|(Nota cancelada)|0,00
8|Adalto Santos|Abril de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 959,28|08/04/2016|41051608/000122|FIDEL AUTO PEÇAS LTDA|119,28
9|Adalto Santos|Abril de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 959,28|08/04/2016|41051608/000122|FIDEL AUTO PEÇAS LTDA|840,00
10|Adalto Santos|Abril de 2016|XII - Serviços de Telecomunicações em Geral - R$ 180,59|04/04/2016|40432544/0102-90|CLARO|180,59
11|Adalto Santos|Abril de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 2.400,00|29/04/2016|21949685000197|STILL W.V.C.O, CONSULTORIA E SERVIÇOS EIRELI - EPP|2.400,00
12|Adalto Santos|Abril de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 790,00|11/04/2016|03.935.826/0001-30|PEDRAGON AUTOS LTDA|634,00
13|Adalto Santos|Abril de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 790,00|11/04/2016|03.935.826/0001-30|PEDRAGON AUTOS LTDA|156,00
1|Adalto Santos|Maio de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 612,00|07/05/2016|02.783.295/0001-45|SALGUEIRO PLAZA HOTEL|612,00
2|Adalto Santos|Maio de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 2.400,00|31/05/2016|21.949.685/0001-97|STILL|2.400,00
3|Adalto Santos|Maio de 2016|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.023,50|31/05/2016|13.118.275/0001-76|LUMI|5.023,50
4|Adalto Santos|Maio de 2016|VI - Aquis./Loc. de Software; TV a Cabo; Internet; Manut. de Site - R$ 367,04|25/05/2016|40432544/0102-90|CLARO|367,04
1|Adalto Santos|Junho de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 2.400,00|30/06/2016|21949685000197|STILL W.V.C.O. CONSULTORIA E SERVIÇOS EIRELI - EPP|2.400,00
2|Adalto Santos|Junho de 2016|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.023,50|28/06/2016|13118275000176|LUMI COMUNICAÇÃO INTEGRADA LTDA|5.023,50
3|Adalto Santos|Junho de 2016|VI - Aquis./Loc. de Software; TV a Cabo; Internet; Manut. de Site - R$ 573,61|27/06/2016|00.000.000/0000-00|(Nota cancelada)|0,00
4|Adalto Santos|Junho de 2016|VI - Aquis./Loc. de Software; TV a Cabo; Internet; Manut. de Site - R$ 573,61|27/06/2016|40432544010290|CLARO|392,52
5|Adalto Santos|Junho de 2016|VI - Aquis./Loc. de Software; TV a Cabo; Internet; Manut. de Site - R$ 573,61|15/06/2016|40432544010290|CLARO|181,09
6|Adalto Santos|Junho de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 452,56|30/06/2016|41.051.608/0001-22|FIDEL AUTO PEÇAS LTDA|214,00
7|Adalto Santos|Junho de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 452,56|30/06/2016|41.051.608.0001-22|FIDEL AUTO PEÇAS LTDA|238,56
8|Adalto Santos|Junho de 2016|XII - Serviços de Telecomunicações em Geral - R$ 58,53|27/06/2016|40432544010290|CLARO|58,53
9|Adalto Santos|Junho de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 2.139,00|18/07/2016|18727961000168|NOVA AUTO PLUS LTDA|1.839,00
10|Adalto Santos|Junho de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 2.139,00|18/07/2016|18727961000168|NOVA AUTO PLUS LTDA|300,00
1|Adalto Santos|Julho de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 4.968,00|12/07/2016|24568719000191|C FREIRE COMERCIO E REPRESENTAÇÕES LTDA|4.968,00
2|Adalto Santos|Julho de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 4.262,00|23/07/2016|02.783.295/0001-45|SALGUEIRO PLAZA HOTEL LTDA|162,00
3|Adalto Santos|Julho de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 4.262,00|29/07/2016|21.949.685/0001-97|STILL W.V.C.O CONSULTORIA E SERVIÇOS EIRELE - EPP|2.400,00
4|Adalto Santos|Julho de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 4.262,00|30/07/2016|02.355.633/0001-48|ABS TRANSPORTES E TURISMO LTDA|1.700,00
5|Adalto Santos|Julho de 2016|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.023,50|27/07/2016|13118275000176|LUMI COMUNICAÇÃO INTEGRADA LTDA|5.023,50
6|Adalto Santos|Julho de 2016|VI - Aquis./Loc. de Software; TV a Cabo; Internet; Manut. de Site - R$ 454,86|22/07/2016|40432544010290|CLARO|454,86
7|Adalto Santos|Julho de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 700,00|30/09/2016|02355633000148|ABS TRANSPORTES E TURISMO LTDA|700,00
1|Adalto Santos|Agosto de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 4.800,00|29/08/2016|21949685000197|STILL W.V.C.O CONSULTORIA E SERVIÇOS EIRELE - EPP|2.400,00
2|Adalto Santos|Agosto de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 4.800,00|30/08/2016|02355633000148|ABS TRANSPORTES E TURISMO LTDA|2.400,00
3|Adalto Santos|Agosto de 2016|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.023,50|29/08/2016|13118275000176|LUMI COMUNICAÇÃO INTEGRADA LTDA|5.023,50
4|Adalto Santos|Agosto de 2016|VI - Aquis./Loc. de Software; TV a Cabo; Internet; Manut. de Site - R$ 354,98|23/08/2016|40432544010290|CLARO|354,98
5|Adalto Santos|Agosto de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 2.957,00|22/08/2016|40889222000121|AUTONUNES LTDA|274,00
6|Adalto Santos|Agosto de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 2.957,00|26/08/2016|19840398000100|DRJ AUTOMOTIVO LTDA ME|2.683,00
7|Adalto Santos|Agosto de 2016|XII - Serviços de Telecomunicações em Geral - R$ 81,42|23/08/2016|40432544010290|CLARO|81,42
8|Adalto Santos|Agosto de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 500,00|30/09/2016|02355633000148|ABS TRANSPORTES E TURISMO LTDA|500,00
1|Adalto Santos|Setembro de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 4.100,00|30/09/2006|02355633000148|ABS TRANSPORTES E TURISMO LTDA|1.700,00
2|Adalto Santos|Setembro de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 4.100,00|30/09/2016|00.000.000/0000-00|(Nota cancelada)|0,00
3|Adalto Santos|Setembro de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 4.100,00|30/09/2016|21949685000197|STILL W.V.C.O CONSULTORIA E SERVIÇOS EIRELE - EPP|2.400,00
4|Adalto Santos|Setembro de 2016|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.023,50|30/09/2016|13118275000176|LUMI COMUNICAÇÃO INTEGRADA LTDA|5.023,50
5|Adalto Santos|Setembro de 2016|VI - Aquis./Loc. de Software; TV a Cabo; Internet; Manut. de Site - R$ 447,03|05/09/2016|40432544010290|CLARO|147,04
6|Adalto Santos|Setembro de 2016|VI - Aquis./Loc. de Software; TV a Cabo; Internet; Manut. de Site - R$ 447,03|22/09/2016|40432544010290|CLARO|299,99
7|Adalto Santos|Setembro de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 3.738,86|03/09/2016|00.000.000/0000-00|(Nota cancelada)|0,00
8|Adalto Santos|Setembro de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 3.738,86|03/09/2016|00.000.000/0000-00|(Nota cancelada)|0,00
9|Adalto Santos|Setembro de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 3.738,86|03/09/2016|00.000.000/0000-00|(Nota cancelada)|0,00
10|Adalto Santos|Setembro de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 3.738,86|05/09/2016|10848372000126|MEIRA LINS S/A|368,89
11|Adalto Santos|Setembro de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 3.738,86|05/09/2016|10848372000126|MEIRA LINS S/A|1.099,50
12|Adalto Santos|Setembro de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 3.738,86|08/09/2016|10848372000126|MEIRA LINS S/A|187,14
13|Adalto Santos|Setembro de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 3.738,86|15/09/2016|11117785001175|ALBUQUERQUE PNEUS|1.980,00
14|Adalto Santos|Setembro de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 3.738,86|15/09/2016|11117785001175|ALBUQUERQUE PNEUS|103,33
15|Adalto Santos|Setembro de 2016|XII - Serviços de Telecomunicações em Geral - R$ 134,97|22/09/2016|40432544010290|CLARO|134,97
16|Adalto Santos|Setembro de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 1.668,64|13/10/2016|24 568.719/0001-91|C. FREIRE COM. E REPRESENTAÇÃO LTDA|1.668,64
1|Adalto Santos|Outubro de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 1.679,60|07/10/2016|00.000.000/0000-00|(Nota cancelada)|0,00
2|Adalto Santos|Outubro de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 1.679,60|17/10/2016|24568719/000191|C. FREIRE COM .E REPRESENTAÇÃO LTDA.|1.679,60
3|Adalto Santos|Outubro de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 4.200,00|21/10/2016|00.000.000/0000-00|(Nota cancelada)|0,00
4|Adalto Santos|Outubro de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 4.200,00|22/10/2016|00.000.000/0000-00|(Nota cancelada)|0,00
5|Adalto Santos|Outubro de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 4.200,00|31/10/2016|02355633000148|ABS TRANSPORTES E TURISMO LTDA|3.000,00
6|Adalto Santos|Outubro de 2016|II - Hospedagens, Passagens e Locação de Transportes - R$ 4.200,00|31/10/2016|02355633/0001-48|ABS TRANSPORTES E TURISMO LTDA|1.200,00
7|Adalto Santos|Outubro de 2016|III - Consultoria, Assessoria e Pesquisa de Trabalhos Técnicos - R$ 5.023,50|04/11/2016|13118275000176|LUMI COMUNICAÇÃO INTEGRADA LTDA|5.023,50
8|Adalto Santos|Outubro de 2016|VI - Aquis./Loc. de Software; TV a Cabo; Internet; Manut. de Site - R$ 554,85|21/10/2016|40432544010290|CLARO|434,96
9|Adalto Santos|Outubro de 2016|VI - Aquis./Loc. de Software; TV a Cabo; Internet; Manut. de Site - R$ 554,85|21/10/2016|40432544010290|CLARO|119,89
10|Adalto Santos|Outubro de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 2.294,07|26/10/2016|00.000.000/0000-00|(Nota cancelada)|0,00
11|Adalto Santos|Outubro de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 2.294,07|26/10/2016|00.000.000/0000-00|(Nota cancelada)|0,00
12|Adalto Santos|Outubro de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 2.294,07|07/10/2016|01.537.271.0001.43|TOYOLEX VEÍCULOS S/A|2.294,07
13|Adalto Santos|Outubro de 2016|VIII - Peças, Acessórios e Serviços para Veículos - R$ 1.088,76|26/10/2016|03935826000130|PEDRAGON AUTOS LTDA|911,46
